user_id	user_name	follower	following	tweet	date
kohkiyoshi	吉本幸記	86	191	10月下旬にGoogleから最新NLPモデル”T5”が発表され、GLUEベンチマークで1位を獲得。モデル名は設計コンセプトである”Text-to-Text Transfer Transformer”に着想している。転移学習とT2T処理が肝らしい。 #NLP #Google https://t.co/GShH0BggLM	2019-11-15 18:01:51
kato_kohaku	kato.kohaku.0	374	503	流行ってますなあ。　How can we fool LIME and SHAP? Adversarial Attacks on Post hoc Explanation Methods https://t.co/arAkHLW683	2019-11-15 17:08:59
ken0324	Ken Nakagaki / 中垣 拳	2414	1246	@nanaju_ https://t.co/R3ftjNjKOX  -&gt;筆者に直接論文をシェアしてもらえるようにリクエストできて、既にpublicにダウンロードできる論文も出てくる（問題も指摘されてる。）   https://t.co/muicUm41Mu  -&gt;分野に偏りあるが、筆者自身が論文を迅速かつオープンに共有できるプラットフォーム。最近流行り？	2019-11-15 16:48:59
hackernewsj	Hacker News記事題日本語翻訳	772	4	磁気シールドグリッド慣性静電閉じ込め装置での融合 https://t.co/efqoy0m35A	2019-11-15 16:42:53
shikiteibakin	式亭馬琴	121	99	符号のミスを Greg Egan に指摘されて訂正したというこの論文(?)  https://t.co/jHznaREcLF  4. This version corrects a sign typo pointed out by Greg Egan. 5. Watch Greg Egan’s beautiful animation in https://t.co/KUVJoICVkF  アニメーションはリンク切れ. 残念．	2019-11-15 15:43:11
thetak11	しいたけ	251	273	弊所arxivアク禁されてて草	2019-11-15 15:05:14
ryutamatsuno	リュウタ	242	229	EIGENVECTORS FROM EIGENVALUES ってこれ、固有ベクトルのノルムを復元できるってだけなのか。 ま、固有ベクトル復元できたらそれはあり得ないしな。 https://t.co/eKYvVc7TaH	2019-11-15 14:53:52
poipoi2	歩衣子	1811	2559	@daichanKEPi https://t.co/7UFJGr88MA これの式(12)を固有値だけで書く形にすれば良いっぽいです	2019-11-15 14:32:48
fudoumyousan	宮島	204	160	機械翻訳コンペであるWMT19において優勝したFAIRのシステムは（ニ人による評価で人による翻訳を大きく上回った。近年順調に翻訳の精度向上が進む中でいよいよ人の翻訳を超えた https://t.co/v83LHvh1LW	2019-11-15 14:21:39
dekosuke	でこすけ	1369	1138	@momiji_fullmoon Google先生の機械翻訳とか「public datasetで実験したけどその1000倍ぐらいサイズあるprivate datasetでもやったよ」みたいな話の建て付けになってる（なお真似できない模様） https://t.co/OlVai4GaiZ	2019-11-15 13:59:08
miyox	miyox	813	624	Optane DCPMの性能評価は https://t.co/9j1GrjOxHB をみるといいよ，というような話を聞いている．	2019-11-15 13:26:45
bunkei_ac_math	やんぬるかな	144	299	Sato無理やりで草  Sato: Contextual Semantic Type Detection in Tables. Dan Zhang, Yoshihiko Suhara, Jinfeng Li, Madelon Hulsebos, Çağatay Demiralp, and Wang-Chiew Tan https://t.co/DY7rwCLI4N https://t.co/63imkEEAdv	2019-11-15 13:18:21
Maxwell_110	HoxoMaxwell!☃️	2791	280	@icoxfog417 News で知ったのですが，IEEE が arxiv に次いでプレプリントサービスを開始するんですね． 目につく点としては，論文のサムネイルでしょうか． とはいえ，サムネイルで得られる情報はないに等しいので，今のところ arxiv の方が良く感じてしまうかなぁ．  https://t.co/9bZHLyjFIj https://t.co/1uLAgUNJok	2019-11-15 13:11:18
tjmlab	部品（本田翼）	2764	322	Quantized octupole acoustic topological insulator  メタマテリアルで量子化八重極音響トポロジカル絶縁体の実現(∩ﾟ∀ﾟ)∩age  https://t.co/6WG2WqOMFu	2019-11-15 12:46:14
pikka0403	pikka	250	398	Anomalous Thermal Hall Effects in Chiral Superconductors https://t.co/tm2rtjPz3q  これは読まなきゃ	2019-11-15 12:34:21
inayopi	kohei inayoshi	434	123	Our review paper has appeared on astro-ph!  みなさん、良かったら読んでくださいね。 https://t.co/vaDIhTAyGX	2019-11-15 12:15:07
NH_M_	Nmℏm	1133	435	なんとなくだけれども、SUSYが下火になってから、arXiv上で新規性が高めのクリエイティブなペーパーが増えたような気もする（個人的な感想）	2019-11-15 11:57:44
Hiromitsu510	ゴトー	79	178	この論文の話。 https://t.co/uAeemEKCAp	2019-11-15 11:40:06
higuras39744677	higurashi	1984	4874	固有値から固有ベクトル求めるみたいなarxiv論文が話題らしいけどこれ本当なの？？	2019-11-15 11:33:55
astrophys_tan	宇宙物理たんbot🌏☄️学術系VTuber	26917	9872	（承前） https://t.co/FbhffgP8d5 の「本論文で得られた相対論的補正を太陽-木星系のラグランジュ点に適用すると、位置が38㍍ほどずれることがわかる。これは小さい値だが既存の観測技術で検出できるかもしれない」のくだりですとか、サイッコーにクールですわ。	2019-11-15 11:01:56
SMBKRHYT	✨dao dai shun shi✨	1062	653	inayoshiさん達の力作が上がっていた。  https://t.co/YMzmUpSeIh	2019-11-15 10:50:45
nbhtmaru	Nobuhito Maru③	273	72	https://t.co/ODub0E6NX3 安達くんとの論文出た！15年ぶりくらいの有限温度論文。フラットExDを1次元コンパクト化した高次元理論の１ループ有限温度ポテンシャルの一般公式を導出。前作のゲージヒッグス模型に適用し、ヒッグスマスを説明しつつ強い１次電弱相転移になることを示しました。	2019-11-15 10:41:18
doudemoiiiijan2	Suguru Kanoga	69	60	深層学習に転移学習を適用する場合、4つにカテゴライズできるよ、という文献。図2-5が非常にわかりやすい。 https://t.co/L4KxCSSoQy	2019-11-15 10:37:15
mosko_mule	ワクワクさん	2583	372	Optimizing Millions of Hyperparameters by Implicit Differentiation https://t.co/aM0GMmFIDt ハイパーパラメータの最適化も勾配降下法で行うbi-levelな問題に陰関数を使った。データ拡張を行うUNetを最適化などを行なっている。iMAMLと異なり、Hessianの逆行列をノイマン級数によって求めている。	2019-11-15 10:23:13
dojodedojo	dojo	18	143	@ShunSakana 議論がオープンで迅速に行えるようにするのは大切。一方arxivには怪しい論文が沢山あるので査読の代わりに何かしらの評価を与える仕組みはあっても良いと思うなぁ	2019-11-15 10:12:22
kotonohano_toko	Yuto Minami	137	155	arXivにプレプリントをたくさん上げておき、就活 採用したらこれらが査読付に変わりますと宣伝 という手法はどうですか？	2019-11-15 10:05:02
astrophys_tan	宇宙物理たんbot🌏☄️学術系VTuber	26917	9872	古典的な制限3体問題（ラグランジュ点が出てくるあれ）をニュートンではなく一般相対論で解いた方もおられますわ。弘前大の山田慧生先生と浅田秀樹先生ですわ。Yamada &amp; Asada 2010, Phys.Rev.D82, 104019 https://t.co/FbhffgP8d5	2019-11-15 10:01:57
s_kajita	Shuuji Kajita	11366	2564	「ロボットごときにアインシュタインとか大げさなｗ」と思う人がいると思うけどガチだから。例えばこのNVIDIAの論文ではロボットの運動生成に一般相対性理論に出てくるリーマン計量を使います。 https://t.co/Yzdzqziwqe	2019-11-15 10:01:08
arXiv_0813	けい♪憐@iPhone5	32	8	＃パズドラ  フレンド募集中でさぁ♪IDは189223408！	2019-11-15 10:00:44
tweet_nakasho	中の人はダンブルドア	644	744	エンタングルメントを光学系ファイバーネットワークにどのように伝搬させるかみたいな論文。 エンタングル多い... https://t.co/bHz7OlqKcZ	2019-11-15 09:54:14
tweet_nakasho	中の人はダンブルドア	644	744	量子多体系を考察した論文。 論文タイトルが粋な感じ。 https://t.co/HviRxCrJqe	2019-11-15 09:54:00
tweet_nakasho	中の人はダンブルドア	644	744	熱力学と量子過程についての論文。 両立が可能なのか？ https://t.co/nDFlWtplD0	2019-11-15 09:53:48
tweet_nakasho	中の人はダンブルドア	644	744	超伝導量子ビットを使って、ラジオ波による量子レベルでの共振器の論文。 そうだね、SQUID関連だね。 https://t.co/nwL8Qd9X7U	2019-11-15 09:53:34
tweet_nakasho	中の人はダンブルドア	644	744	局所ハミルトニアンにより、共有量子電池の中の局所受動性の条件を求めたもの。 ...量子電池なんてあるんだ、へぇ〜。 https://t.co/r8X5eIh2Zb	2019-11-15 09:53:23
tweet_nakasho	中の人はダンブルドア	644	744	量子ビット移動支援エンタングルメントスワッピングというタイトルの論文。 なるほど、わからん。 https://t.co/qU2oszx4c2	2019-11-15 09:53:11
tweet_nakasho	中の人はダンブルドア	644	744	リュードベリヘリウム原子を使って、超伝導コプレーナ導波共振器中での振る舞いを調べた論文。 リュードベリヘリウムってなんだ？ https://t.co/uTS6nGJU16	2019-11-15 09:53:00
tweet_nakasho	中の人はダンブルドア	644	744	量子インターネットの論文。 ネットワークの理論も抑えないと。 https://t.co/XiDdR5I8so	2019-11-15 09:52:48
tweet_nakasho	中の人はダンブルドア	644	744	光子交換プロトコルが採用されたときのエンタングルメントに関する論文。 non-Gaussianityが関係するかも？ https://t.co/Q5FYjcph2v	2019-11-15 09:52:36
tweet_nakasho	中の人はダンブルドア	644	744	量子暗号に関する論文。 どちらかというと通信かな？ https://t.co/wXvqCxsXZ7	2019-11-15 09:52:26
tweet_nakasho	中の人はダンブルドア	644	744	相関のない光子の干渉実験論文。 光量子コンピュータに関連するかも？ https://t.co/5hrT6KSMDc	2019-11-15 09:52:15
tweet_nakasho	中の人はダンブルドア	644	744	金融分野の最適化問題のポートフォリオ論文。 といってもゲートモデルの量子コンピュータに関するものらしい。 https://t.co/svnOU45Zgr	2019-11-15 09:52:00
tweet_nakasho	中の人はダンブルドア	644	744	光量子コンピュータのネットワークに関する実験論文。 光量子コンピュータ！！ https://t.co/dM9Kk3if8g	2019-11-15 09:51:49
tweet_nakasho	中の人はダンブルドア	644	744	非摂動キャビティQEDによる量子シミュレーション。 キャビティQED...? https://t.co/fAQ5ZBzcH4	2019-11-15 09:51:39
tweet_nakasho	中の人はダンブルドア	644	744	バランスのとれたポリシー評価と学習に関する論文。 AIDSやHIVのデータを使っているみたい。 https://t.co/N8OocPj9nW	2019-11-15 09:51:28
tweet_nakasho	中の人はダンブルドア	644	744	ガウシアン2次形式の範囲改善論文。 2次形式なんもわからん。 https://t.co/z2OGttPTcx	2019-11-15 09:51:14
tweet_nakasho	中の人はダンブルドア	644	744	グレンジャーネットワークを使った犯罪・テロ予測論文。 犯罪ダメ、絶対。 https://t.co/rOo2SewHYl	2019-11-15 09:51:02
tweet_nakasho	中の人はダンブルドア	644	744	スパース線形判別分析という新しい手法の論文 難しい... https://t.co/OY2gNfYYCA	2019-11-15 09:50:49
tweet_nakasho	中の人はダンブルドア	644	744	等方性マテルン相関を用いた新手法論文。 マテルンってなに？ https://t.co/JXJZWkR8hP	2019-11-15 09:50:39
tweet_nakasho	中の人はダンブルドア	644	744	相関ランダム係数を用いた最適化手法の論文。 理論さっぱりわからない... https://t.co/mRG6ohbwfk	2019-11-15 09:50:28
tweet_nakasho	中の人はダンブルドア	644	744	大規模ネットワークの異常検知を潜在空間モデルでやってみました論文。 ベイジアンアプローチよりも効率が良い感じ？ https://t.co/dr3fV3ETV5	2019-11-15 09:50:17
tweet_nakasho	中の人はダンブルドア	644	744	LINEXロス関数を使うと自然に分類できるかも論文。 LINEXってなんぞ？ https://t.co/Zvz0C7eXIA	2019-11-15 09:50:04
tweet_nakasho	中の人はダンブルドア	644	744	カーネル手法ではなく、確率勾配法でやるとコンバージェンスレートがよくなるかもという論文。 東大ヤベェ。 https://t.co/u9LFEsEBhN	2019-11-15 09:49:53
tweet_nakasho	中の人はダンブルドア	644	744	確率的ネスト構成最適化問題の複雑性のオーダーを抑えましたという論文。 stochastic nested composition optimization problemを勉強しないと。 https://t.co/JVlctuLUpJ	2019-11-15 09:49:40
tweet_nakasho	中の人はダンブルドア	644	744	因果律ベースのアプローチでパーキンソン病の予見するというもの。 やっぱりヘルスケアへの応用も進んでるんだな。 https://t.co/8xqYoFk28t	2019-11-15 09:49:27
tweet_nakasho	中の人はダンブルドア	644	744	いかにスムージングパラメータをロバストに選択するかというもの。 ロバスト性、大事。 https://t.co/fw6LUla61n	2019-11-15 09:49:14
tweet_nakasho	中の人はダンブルドア	644	744	Electric Health Record データを機械学習するときの新手法。 機械学習は奥が深い... https://t.co/2QwiSD3f7g	2019-11-15 09:49:02
tweet_nakasho	中の人はダンブルドア	644	744	異常降水量データをモデル化した論文。 統計のアプリケーションの幅は広い。 https://t.co/fyrrvUfGwc	2019-11-15 09:48:34
yuyu_hf	いっぬ	282	2183	読んでる https://t.co/mYGK9vJHHH	2019-11-15 09:44:37
ShunSakana	魚(Sakana)	459	244	この辺は、査読なしでarXiv等でオープンかつ迅速に議論ができるようになったら、棄却の時間スケールが早まってもう少しマシな状況にならないかなーと思う。加えて、arXivのような媒体が主流になったら、IFみたいな非科学的なメトリックの影響が緩和されてマシな状況にになったらいいなーとも思う。	2019-11-15 09:34:32
arutema47	arutema47	427	364	”Learning to See in the Dark” https://t.co/cG0qol2xt5 こっちは普通に暗い写真と明るい写真の2種類を撮りGT作成。 シンプルだけど実用的な研究	2019-11-15 09:27:00
wayama_ryousuke	Ryousuke_Wayama	194	195	"論文へのリンクとタイトルがなかったので追記。""Task2Vec: Task Embedding for Meta-Learning"" https://t.co/1Wc0BKlj3P　https://t.co/xQBpAx2Vvk"	2019-11-15 09:18:00
