user_id	user_name	follower	following	tweet	date	arxiv_url	arxiv_title	arxiv_abstract	arxiv_p_subject	arxiv_s_subject
imenurok	那須音トウ:????	"1,970"	670	@maguroIsland 確かこちら https://t.co/NMaZpURHeL	2019/6/25 23:13	https://arxiv.org/abs/1804.00891	Hyperspherical Variational Auto-Encoders	"The Variational Auto-Encoder (VAE) is one of the most used unsupervisedmachine learning models. But although the default choice of a Gaussiandistribution for both the prior and posterior represents a mathematicallyconvenient distribution often leading to competitive results, we show that thisparameterization fails to model data with a latent hyperspherical structure. Toaddress this issue we propose using a von Mises-Fisher (vMF) distributioninstead, leading to a hyperspherical latent space. Through a series ofexperiments we show how such a hyperspherical VAE, or $\mathcal{S}$-VAE, ismore suitable for capturing data with a hyperspherical latent structure, whileoutperforming a normal, $\mathcal{N}$-VAE, in low dimensions on other datatypes."	Machine Learning (stat.ML)	Machine Learning (cs.LG)
tSato_as	T. Sato	124	150	これ、near-MCh が sub-MCh と半々とかそれ以上に見えるのは、もっとWD density あげたりとか、transition density 変えると印象変わってくるのかな？ https://t.co/ArtnwwbvOL	2019/6/26 6:24	https://arxiv.org/abs/1906.09980	New Type Ia supernova Yields and the Manganese and Nickel Problems in the Milky Way and Dwarf Spheroidal Galaxies	"In our quest to identify the progenitors of Type Ia supernovae (SNe Ia), wefirst update the nucleosynthesis yields both for Chandrasekhar (Ch) and sub-Chmass white dwarfs (WDs), for a wide range of metallicity, with ourtwo-dimensional hydrodynamical code and the latest nuclear reaction rates. Wethen include the yields in our galactic chemical evolution code to predict theevolution of elemental abundances in the solar neighborhood and dwarfspheroidal (dSph) galaxies. In the observations of the solar neighborhoodstars, Mn shows an opposite trend to alpha elements, showing an increase towardhigher metallicities, which is very well reproduced by deflagration-detonationtransition of Ch-mass WDs, but never by double detonations of sub-Ch-mass WDsalone. The problem of Ch-mass SNe Ia was the Ni over-production at highmetallicities. However, we found that Ni yields of Ch-mass SNe Ia are muchlower with the solar-scaled initial composition than in previous works, whichkeeps the predicted Ni abundance within the observational scatter. From theevolutionary trends of elemental abundances in the solar neighborhood, weconclude that the contribution of sub-Ch-mass SNe Ia is up to 25%. In dSphgalaxies, however, the contribution of sub-Ch-mass SNe Ia seems to be higherthan in the solar neighborhood. In dSphs, sub-Ch-mass SNe Ia cause a decreaseof [(alpha, Cr, Mn, Ni)/Fe], while so-called SNe Iax can increase Mn and Niabundances if they are pure deflagrations. Future observations of dSph starswill provide more stringent constraints on the progenitor systems and explosionmechanism of SNe Ia."	High Energy Astrophysical Phenomena (astro-ph.HE)	Astrophysics of Galaxies (astro-ph.GA)
dakuton	Yuji Tokuda	325	210	GPUが数の暴力でとても真似できないけど、ハッシュタグを足がかりに未ラベルの動画データで行動認識するというのはなかなか興味深い。 Large-scale weakly-supervised pre-training for video action recognition https://t.co/XoSPpv6m4V	2019/6/26 9:50	https://arxiv.org/abs/1905.00561	Large-scale weakly-supervised pre-training for video action recognition	"Current fully-supervised video datasets consist of only a few hundredthousand videos and fewer than a thousand domain-specific labels. This hindersthe progress towards advanced video architectures. This paper presents anin-depth study of using large volumes of web videos for pre-training videomodels for the task of action recognition. Our primary empirical finding isthat pre-training at a very large scale (over 65 million videos), despite onnoisy social-media videos and hashtags, substantially improves thestate-of-the-art on three challenging public action recognition datasets.Further, we examine three questions in the construction of weakly-supervisedvideo action datasets. First, given that actions involve interactions withobjects, how should one construct a verb-object pre-training label space tobenefit transfer learning the most? Second, frame-based models perform quitewell on action recognition; is pre-training for good image features sufficientor is pre-training for spatio-temporal features valuable for optimal transferlearning? Finally, actions are generally less well-localized in long videos vs.short videos; since action labels are provided at a video level, how should onechoose video clips for best performance, given some fixed budget of number orminutes of videos?"	Computer Vision and Pattern Recognition (cs.CV)	
tripdancer0916	Kohei Ichikawa	"2,664"	"2,122"	またすごいものが出てきた。148ページの大作。  A free energy principle for a particular physics - Karl Friston https://t.co/0GlJZvgn2n	2019/6/26 10:49	https://arxiv.org/abs/1906.10184	A free energy principle for a particular physics	"This monograph attempts a theory of every 'thing' that can be distinguishedfrom other things in a statistical sense. The ensuing statisticalindependencies, mediated by Markov blankets, speak to a recursive compositionof ensembles (of things) at increasingly higher spatiotemporal scales. Thisdecomposition provides a description of small things; e.g., quantum mechanics -via the Schrodinger equation, ensembles of small things - via statisticalmechanics and related fluctuation theorems, through to big things - viaclassical mechanics. These descriptions are complemented with a Bayesianmechanics for autonomous or active things. Although this work provides aformulation of every thing, its main contribution is to examine theimplications of Markov blankets for self-organisation to nonequilibriumsteady-state. In brief, we recover an information geometry and accompanyingfree energy principle that allows one to interpret the internal states ofsomething as representing or making inferences about its external states. Theensuing Bayesian mechanics is compatible with quantum, statistical andclassical mechanics and may offer a formal description of lifelike particles."	Neurons and Cognition (q-bio.NC)	
Kenji_Sugisaki	杉﨑 研司 (Kenji Sugisaki)	360	127	Machine learning methods in quantum computing theory https://t.co/D0JrcYkzqL あとで読む	2019/6/26 12:14	https://arxiv.org/abs/1906.10175	Machine learning methods in quantum computing theory	"Classical machine learning theory and theory of quantum computations areamong of the most rapidly developing scientific areas in our days. In recentyears, researchers investigated if quantum computing can help to improveclassical machine learning algorithms. The quantum machine learning includeshybrid methods that involve both classical and quantum algorithms. Quantumapproaches can be used to analyze quantum states instead of classical data. Onother side, quantum algorithms can exponentially improve classical data sciencealgorithm. Here, we show basic ideas of quantum machine learning. We presentseveral new methods that combine classical machine learning algorithms andquantum computing methods. We demonstrate multiclass tree tensor networkalgorithm, and its approbation on IBM quantum processor. Also, we introduceneural networks approach to quantum tomography problem. Our tomography methodallows us to predict quantum state excluding noise influence. Suchclassical-quantum approach can be applied in various experiments to reveallatent dependence between input data and output measurement results."	Quantum Physics (quant-ph)	
yutakashino	Yuta Kashino	"9,885"	186	XLNet: Generalized Autoregressive Pretraining for Language Understanding https://t.co/smBZWVZx1R ほんとですね，512 TPU 2.5日だと，Cloud TPU v3は一つあたり$8/hだから，2654万円かかる…．もうNLPの研究も圧倒的な計算力で殴る時代になってますね… https://t.co/K55jMrXKlI	2019/6/26 12:20	https://arxiv.org/abs/1906.08237	XLNet: Generalized Autoregressive Pretraining for Language Understanding	"With the capability of modeling bidirectional contexts, denoisingautoencoding based pretraining like BERT achieves better performance thanpretraining approaches based on autoregressive language modeling. However,relying on corrupting the input with masks, BERT neglects dependency betweenthe masked positions and suffers from a pretrain-finetune discrepancy. In lightof these pros and cons, we propose XLNet, a generalized autoregressivepretraining method that (1) enables learning bidirectional contexts bymaximizing the expected likelihood over all permutations of the factorizationorder and (2) overcomes the limitations of BERT thanks to its autoregressiveformulation. Furthermore, XLNet integrates ideas from Transformer-XL, thestate-of-the-art autoregressive model, into pretraining. Empirically, XLNetoutperforms BERT on 20 tasks, often by a large margin, and achievesstate-of-the-art results on 18 tasks including question answering, naturallanguage inference, sentiment analysis, and document ranking."	Computation and Language (cs.CL)	Machine Learning (cs.LG)
tripdancer0916	Kohei Ichikawa	"2,664"	"2,122"	ネットワークが生み出す情報量とそれを人が受け取る時の効率性を情報理論の枠組みで定義した上で実際の情報伝達システム（文章や音楽など）のネットワークが高い情報量と効率性を達成していることを示した。 また階層性とモジュール性からそれが実現することも明らかにした。 https://t.co/0j2T50naRS https://t.co/zOj1j9uxL3	2019/6/26 12:20	https://arxiv.org/abs/1906.00926	Human information processing in complex networks	"Humans communicate using systems of interconnected stimuli or concepts --from language and music to literature and science -- yet it remains unclearhow, if at all, the structure of these networks supports the communication ofinformation. Although information theory provides tools to quantify theinformation produced by a system, traditional metrics do not account for theinefficient and biased ways that humans process this information. Here wedevelop an analytical framework to study the information generated by a systemas perceived by a human observer. We demonstrate experimentally that thisperceived information depends critically on a system's network topology.Applying our framework to several real networks, we find that they communicatea large amount of information (having high entropy) and do so efficiently(maintaining low divergence from human expectations). Moreover, we show thatsuch efficient communication arises in networks that are simultaneouslyheterogeneous, with high-degree hubs, and clustered, with tightly-connectedmodules -- the two defining features of hierarchical organization. Together,these results suggest that many real networks are constrained by the pressuresof information transmission, and that these pressures select for specificstructural features."	Physics and Society (physics.soc-ph)	Biological Physics (physics.bio-ph);Neurons and Cognition (q-bio.NC)
Kenji_Sugisaki	杉﨑 研司 (Kenji Sugisaki)	360	127	Beyond the swap test: optimal estimation of quantum state overlap https://t.co/5HYS7cdVCF まだ中身読んでないけど気になる論文。あとで読む。	2019/6/26 12:21	https://arxiv.org/abs/1906.10639	Beyond the swap test: optimal estimation of quantum state overlap	"We study the estimation of the overlap between two Haar-random pure quantumstates in a finite-dimensional Hilbert space, given $M$ and $N$ copies of them.We compute the statistics of the optimal measurement, which is a projectiononto permutation-invariant subspaces, and provide lower bounds for the meansquare error for both local and Bayesian estimation. In the former case, thebound is asymptotically saturable by a maximum likelihood estimator, whereas inthe latter we give a simple exact formula for the optimal value. Furthermore,we introduce two LOCC strategies, relying on the estimation of one or both thestates, and show that, although they are suboptimal, they outperform thecommonly-used swap test. In particular, the swap test is extremely inefficientfor small values of the overlap, which become exponentially more likely as thedimension increases. Finally, we show that the optimal measurement is lessinvasive than the swap test and study the robustness to depolarizing noise forqubit states."	Quantum Physics (quant-ph)	
autumn_good_35	Autumn Good	"1,755"	271	"奇虎360による論文。  『While theprimitive (fully homomorphic encryption) itself is secure, protocols and applications can easily be completelyinsecure.』  Danger of using fully homomorphic encryption: A look at Microsoft SEAL [PDF] https://t.co/2l6ykSt5BZ https://t.co/71rIgA0ygw"	2019/6/26 12:31	https://arxiv.org/abs/1906.07127	Danger of using fully homomorphic encryption: A look at Microsoft SEAL	"Fully homomorphic encryption is a promising crypto primitive to encrypt yourdata while allowing others to compute on the encrypted data. But there are manywell-known problems with fully homomorphic encryption such as CCA security andcircuit privacy problem. Despite these problems, there are still many companiesare currently using or preparing to use fully homomorphic encryption to builddata security applications. It seems that the full homomorphic encryption isvery close to practicality and these problems can be easily mitigated inimplementation. Although the those problems are well known in theory, there isno public discussion of their actual impact on real application. Our researchshows that there are many security pitfalls in fully homomorphic encryptionfrom the perspective of practical application. The security problems of a fullyhomomorphic encryption in a real application is more severe than imagined. Inthis paper, we will take Microsoft SEAL as an examples to introduce thesecurity pitfalls of fully homomorphic encryption from the perspective ofimplementation and practical application"	Cryptography and Security (cs.CR)	
U1KURI	くりりん（Yuichi KRHR）	70	148	甘利先生  Jacot et al. Neural Tangent Kernel  関数空間での解析 https://t.co/2LcMX5aeLz  カーネル学習、ガウシアンプロセスに出来る。 ※ 距離空間のパラメータ数が無限である、という条件  どんな局所解も、ほぼ最適解になる！  →　実は学習は線形問題！！！   #wba_sympo4	2019/6/26 14:02	https://arxiv.org/abs/1806.07572	Neural Tangent Kernel: Convergence and Generalization in Neural Networks	"At initialization, artificial neural networks (ANNs) are equivalent toGaussian processes in the infinite-width limit, thus connecting them to kernelmethods. We prove that the evolution of an ANN during training can also bedescribed by a kernel: during gradient descent on the parameters of an ANN, thenetwork function $f_\theta$ (which maps input vectors to output vectors)follows the kernel gradient of the functional cost (which is convex, incontrast to the parameter cost) w.r.t. a new kernel: the Neural Tangent Kernel(NTK). This kernel is central to describe the generalization features of ANNs.While the NTK is random at initialization and varies during training, in theinfinite-width limit it converges to an explicit limiting kernel and it staysconstant during training. This makes it possible to study the training of ANNsin function space instead of parameter space. Convergence of the training canthen be related to the positive-definiteness of the limiting NTK. We prove thepositive-definiteness of the limiting NTK when the data is supported on thesphere and the non-linearity is non-polynomial.We then focus on the setting of least-squares regression and show that in theinfinite-width limit, the network function $f_\theta$ follows a lineardifferential equation during training. The convergence is fastest along thelargest kernel principal components of the input data with respect to the NTK,hence suggesting a theoretical motivation for early stopping.Finally we study the NTK numerically, observe its behavior for wide networks,and compare it to the infinite-width limit."	Machine Learning (cs.LG)	Neural and Evolutionary Computing (cs.NE);Probability (math.PR);Machine Learning (stat.ML)
