user_id	user_name	follower	following	tweet	date	arxiv_url	arxiv_title	arxiv_abstract	arxiv_p_subject	arxiv_s_subject
imenurok	那須音トウ:????	1,970	670	@maguroIsland 確かこちら https://t.co/NMaZpURHeL	2019/6/25 23:13					
tSato_as	T. Sato	124	150	これ、near-MCh が sub-MCh と半々とかそれ以上に見えるのは、もっとWD density あげたりとか、transition density 変えると印象変わってくるのかな？ https://t.co/ArtnwwbvOL	2019/6/26 6:24					
dakuton	Yuji Tokuda	325	210	GPUが数の暴力でとても真似できないけど、ハッシュタグを足がかりに未ラベルの動画データで行動認識するというのはなかなか興味深い。 Large-scale weakly-supervised pre-training for video action recognition https://t.co/XoSPpv6m4V	2019/6/26 9:50					
tripdancer0916	Kohei Ichikawa	2,664	2,122	またすごいものが出てきた。148ページの大作。  A free energy principle for a particular physics - Karl Friston https://t.co/0GlJZvgn2n	2019/6/26 10:49					
Kenji_Sugisaki	杉﨑 研司 (Kenji Sugisaki)	360	127	Machine learning methods in quantum computing theory https://t.co/D0JrcYkzqL あとで読む	2019/6/26 12:14					
yutakashino	Yuta Kashino	9,885	186	XLNet: Generalized Autoregressive Pretraining for Language Understanding https://t.co/smBZWVZx1R ほんとですね，512 TPU 2.5日だと，Cloud TPU v3は一つあたり$8/hだから，2654万円かかる…．もうNLPの研究も圧倒的な計算力で殴る時代になってますね… https://t.co/K55jMrXKlI	2019/6/26 12:20					
tripdancer0916	Kohei Ichikawa	2,664	2,122	ネットワークが生み出す情報量とそれを人が受け取る時の効率性を情報理論の枠組みで定義した上で実際の情報伝達システム（文章や音楽など）のネットワークが高い情報量と効率性を達成していることを示した。 また階層性とモジュール性からそれが実現することも明らかにした。 https://t.co/0j2T50naRS https://t.co/zOj1j9uxL3	2019/6/26 12:20					
Kenji_Sugisaki	杉﨑 研司 (Kenji Sugisaki)	360	127	Beyond the swap test: optimal estimation of quantum state overlap https://t.co/5HYS7cdVCF まだ中身読んでないけど気になる論文。あとで読む。	2019/6/26 12:21					
autumn_good_35	Autumn Good	1,755	271	奇虎360による論文。  『While theprimitive (fully homomorphic encryption) itself is secure, protocols and applications can easily be completelyinsecure.』  Danger of using fully homomorphic encryption: A look at Microsoft SEAL [PDF] https://t.co/2l6ykSt5BZ https://t.co/71rIgA0ygw	2019/6/26 12:31					
U1KURI	くりりん（Yuichi KRHR）	70	148	甘利先生  Jacot et al. Neural Tangent Kernel  関数空間での解析 https://t.co/2LcMX5aeLz  カーネル学習、ガウシアンプロセスに出来る。 ※ 距離空間のパラメータ数が無限である、という条件  どんな局所解も、ほぼ最適解になる！  →　実は学習は線形問題！！！   #wba_sympo4	2019/6/26 14:02					
shion_honda	Shion Honda	1,234	242	Deep learning for molecular design [Elton+, 2019, Mol. Syst. Des. Eng.] 過去2年間のDLによる分子設計手法に関する論文45本をまとめたサーベイ。RNN、GANなど機械学習一般の話が手厚いが、最後に強化学習の報酬設計などドメイン固有の議論もある。 https://t.co/RruXfCPFPF #NowReading https://t.co/QY3Cpv0Ug7	2019/6/26 15:29					
TomiyaAkio	3刷出ます「ディープラーニングと物理学」 A.Tomiya	1,262	504	個人的には、https://t.co/Ltq63t7B3K の続きの話がおもしろかったな	2019/6/26 17:32					
overleo	overleo	189	0	BERTを超えたXLNetの紹介 - akihiro_f - Medium: 概要https://t.co/khdHR0GZWP XLNetは2019/6/19に、”XLNet: Generalized Autoregressive Pretraining for Language Understanding”と題してArxivに投稿された論文です。一言(?)でいうと… https://t.co/p03Aej2nmw [ml]	2019/6/26 17:35					
m3yrin	typo	127	276	宝くじ券仮説、NNの中で初期値と相性?の良い有効な構造のみが生き残っていく話(らしい)  |The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks | https://t.co/FQOgC7cDml	2019/6/26 17:37					
qard_t	T-QARD channel	516	0	https://t.co/3IVdpQF3wQ  展望としては2Dもいけるぞ！とのこと。 https://t.co/Xs7ihnvjAy	2019/6/26 18:47					
SeURa_Nue	せゆーら / Se-U-Ra	3,667	420	@takumiwish https://t.co/IkpmVNd6Uu  この辺じゃないですかね(推察)	2019/6/26 20:06					
yu__ya4	Yuya Matsumura	1,642	1,037	論文 https://t.co/pR58iCGQvA  サービスの性質上，ユーザ間の取引が A-&gt;B-&gt;C-&gt;A ってふうに循環してたら怪しいって仮説おいてそれを特徴量にしてるの面白い（最終，そこまで効いてなさげやったけど）。 こういうドメイン知識あるからこそのってやつ好き。	2019/6/26 20:28					
Nextremer_nb_o	nb.o	51	113	もとの論文とおなじことがかいてあるってことか。  https://t.co/2ufSUdfWLS	2019/6/26 21:53					
hir_kurashige	Hiroki Kurashige	225	80	Fristonの例の論文(というかモノグラフ)、最終的には自分の研究に関わるだろうし、読んで(解読して)みようと思う。その上でせっかくだからこじんまりとした報告会でも開くか。これは輪読には向かないから、私が解読して、私が説明して、他の人がそれにツッコミ入れる会。  https://t.co/CMQnxJUf2o	2019/6/26 22:05					
re_hako_moon	はこつき＠VR	43	49	https://t.co/Vpv23Ke83J 単眼カメラ画像から物体の三次元メッシュを再構成する。面と線によるSkeltonを一度構成し、3DCNNによって高解像度なVolume表現を得る。さらにMarching Cubesでメッシュに変換し、GCNNでRefinementしてきれいなメッシュを出力。	2019/6/26 22:16					
nicklaw296	ニクロー	316	321	@puni_kyopro https://t.co/JDUF973x7O とりあえずいろんな分野で使えそうな感じの	2019/6/26 22:44					
kogomi21361	kogomi	311	334	ベシ圏の原著が公開されてると聞いて..... ふふふ…英語を勉強できる素材が増えたな…（建前） https://t.co/ZXXMFKXZTx	2019/6/26 22:52					
Yukihiro0036	YukihiroMasuoka	125	211	これのことですかね https://t.co/fzkDrDp7ql	2019/6/26 22:55					
hhhhhhaaaaaa2	h.a.	339	524	Spin-split band hybridization in graphene proximitized with α-RuCl3 nanosheets https://t.co/VEQxfqrDFS グラフェンとαCuClのシート重ねたらスピン散乱によって 量子振動が減衰するらしい こんな研究があるんやね	2019/6/26 23:04					
triwave33	triwave	807	726	強化学習タスクで、人間の生体信号を内発的な報酬（系から付与されない報酬）として扱うもの。  強化学習に限らず、自動運転のプランニング問題に対して安全を定義・評価するのは極めて難しい問題。生体情報を取り込めたら面白いがそんなにうまくいくの？しっかり読む  https://t.co/wZR0OMV9dr	2019/6/26 23:32					
kadamasaru	嘉田 勝	2,896	318	ほぉ。 https://t.co/m7SQeRIWC6	2019/6/26 23:41					
QU00h	は	540	466	この論文、ためしに実験で確かめてみようかな  https://t.co/vUEEohidgg	2019/6/27 0:37					
alterakey	Takahiro Yoshimura	817	907	おお、華麗だ… #メモ  From IP ID to Device ID and KASLR Bypass (Extended Version) https://t.co/KUdi5nxkPV https://t.co/KUdi5nxkPV	2019/6/27 0:37					
petrucci1993	TKC(物理)	62	110	https://t.co/Ez4jgbxdtz 修正版あげました	2019/6/27 0:51					
q9ac	將籠林檎 / ??	278	228	超伝導体を二つ持ってきてカシミール効果の温度依存性を調べる。二つが十分に近い領域(vdW regeme)だと超伝導相転移はカシミール効果に不連続性をもたらさないが、二つが離れていると(Casimir regeme)超伝導転移点でカシミールフォースが不連続になるらしい。 https://t.co/9n2fupxScD	2019/6/27 1:06					
GenerateTaiyaki	taiyaki	14	0	DeepVoxels (CVPR2019 oral https://t.co/2bBGcktVrs) 物体を様々な方向から撮影した2D画像から3Dの埋め込み表現を学習する手法.各方向からの画像特徴の三次元的・逐次的な統合+埋め込みを2Dに射影した特徴からの訓練データの再構成+敵対的ロス.物体を未知の方向から見た画像を高解像度で生成可能. https://t.co/VEGCybiazv	2019/6/27 1:48					
Q7Xf5U4TpGCMDjG	ほ(研究)	0	0	https://t.co/EubJn4Hyo0 … https://t.co/FFPh73L2j2 CVSports(CVPR2019)ゴルフのスウィングのシークエンスを８種類に分類し、それぞれの検出を行う研究。同時にゴルフのスウィングに関するデータセットGolfDBの提案。 https://t.co/G0TpYt2QZf	2019/6/27 2:12					
yasuokajihei	宮島正	380	132	(Google DeepMind) https://t.co/u5e1OsKHnQ 他者の心を類推し、理解する能力についての「心の理論」に基づいた振る舞いが出来るようなモデルを深層強化学習で実現．	2019/6/27 3:41					
Kashalpha	かしゃるふぁ	697	823	VanQver (Variational and Adiabatically Navigated Quantum Eigensolver)は名前がおしゃれなのでお気に入り https://t.co/yKPKWn4xj4	2019/6/27 6:16					
